100884	cappella S. Giovanni Battista dei Caprettai	base		2:26,40,45n
100885	cappella S. Giovanni Battista dei Cicali	ref_to	100881 (cappella S. Giovanni Battista a Portanova)	2:373,375,382
100886	cappella S. Giovanni Battista dei Moccia	base		2:375,382
100890	cappella S. Giovanni Battista, Iuspatronato della famiglia Nocera	base		2:373
100898	cappella S. Giovanni Bosco	base		2:331
100899	cappella S. Giovanni Evangelista	ref_to	300899 (cappella Fontana)	1:204n
200904	cappella S. Giovanni Maggiore	part_of	100904 (chiesa S. Giovanni Maggiore)	10:252,255,350
100905	cappella S. Giovanni Ovo a Capretto	ref_to	101261 (cappella S. Maria Refugium Peccatorum)	2:372,375
100924	cappella S. Giovanni ad Lampades	base		7:269
100926	cappella S. Giovanni da Capestrano, all'Ospedaletto	base		2:470
100931	cappella S. Giovanni dei Pappacoda	base		2:56
100932	cappella S. Giovanni della Disciplina	base		2:318,327,329,330,330d,331n
100957	cappella S. Girolamo dei Verdummari	ref_to	101685 (cappella S. Maria delle Grazie dei Bianchi)	2:237,240
100961	cappella S. Giuda Taddeo	base		2:220,232
100963	cappella S. Giulianessa	base		1:205
100962	cappella S. Giulianessa de Porta S. Januarii	base		1:235,242n
100965	cappella S. Giuliano	base		1:287,288
200985	cappella S. Giuseppe	part_of	100985 (chiesa S. Giuseppe)	10:184,569
101012	cappella S. Ignazio e S. Francesco Saverio	base		4:244
101052	cappella S. Ivone nell'atrio dei SS. Apostoli	base		1:472,477,478
101061	cappella S. Leonardo	base		1:228n
101065	cappella S. Ligorio	base		1:205,209
101066	cappella S. Ligoritiello	ref_to	101065 (cappella S. Ligorio)	1:205,209
101071	cappella S. Lorenzello dei Vicoli	base		2:473,474,476
101085	cappella S. Luca dell'Arte dei Vetrari	base		4:119
101089	cappella S. Lucia a vico del Gesù	base		2:82,90
101104	cappella S. Ludovico	base		2:144
101154	cappella S. Mania Apostolo ai Canestrari a Porto	ref_to	101845 (cappella S. Matteo Apostolo)	2:437n
101171	cappella S. Marco dei Tessitori	base		5:437
101186	cappella S. Margherita	ref_to	100403 (cappella S. Caterina dei Severini)	2:409
101180	cappella S. Margherita de Ferillis	ref_to	101653 (chiesa S. Maria delle Anime dei Tedeschi)	2:403,405
101215	cappella S. Maria Assunta	base		5:58,60d
101210	cappella S. Maria Assunta dei Pignatelli	ref_to	102165 (cappella Pignatelli)	1:194n
101216	cappella S. Maria Auxilium Christianorum	base		6:392,395,406d
101221	cappella S. Maria Donn'Andreano in vico Rota	base		1:300
101234	cappella S. Maria Imbriana	ref_to	100505 (chiesa SS. Cosma e Damiano a Portanova)	2:371,373
101266	cappella S. Maria Immacolata della congregazione dei Sessantatrè Sacerdoti	ref_to	100231 (cappella Assunta dei Caraccioli in vico Scassacocchi)	1:387n
101237	cappella S. Maria Maddalena de Pizzolis	ref_to	102273 (cappella S. Rosa)	1:409n
101238	cappella S. Maria Maddalena de' Caliti a Pozzobianco	base		1:440,450n
101240	cappella S. Maria Maddalena, a S. Aniello a Caponapoli	base		1:17,20,22n
101259	cappella S. Maria Presentata al Tempio	base		1:371,377,378n
101261	cappella S. Maria Refugium Peccatorum	base		2:372
101270	cappella S. Maria Salus Infirmorum	ref_to	100151 (cappella S. Anna)	2:234n
101272	cappella S. Maria Stella Maris	base		2:414
101275	cappella S. Maria Succurre Miseris	base		1:413
101280	cappella S. Maria Vertecoeli	base		2:197
101286	cappella S. Maria Visitapoveri	base/ref_to	 102578 (cappella Fondaco Visitapoveri)	2:336,337; 2:485,486
101285	cappella S. Maria Visitapoveri in vico Venafro	ref_to	102578 (cappella Fondaco Visitapoveri)	2:425,429,434
101302	cappella S. Maria a Chiazzolla	base		2:165,166
101806	cappella S. Maria a Circolo	ref_to	301806 (cappella Maria della Chiusa)	5:241
101309	cappella S. Maria a Corigliano	base		6:213
101311	cappella S. Maria a Fasanella	base		2:40
301276	cappella S. Maria a Fasonella	ref_target		2:40
101322	cappella S. Maria a Porta	base		1:541n
101808	cappella S. Maria a Sant'Anna ai Grodoni	base		9:502
101328	cappella S. Maria a Termine, in via Paladino	base		2:82,90
101329	cappella S. Maria a Tranquillo	ref_to	100234 (cappella Assunta)	1:72n,73n
101811	cappella S. Maria ad Nives	ref_to	101344 (cappella S. Maria ad Trivium)	1:209n
